% Filename : LM_Channel_5200_mean_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_5200_mean_prof.dat 
% 
% Total number of data points  : 768
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 10240 
%  Grid (wall-normal)      ny = 1536 
%  Grid (spanwise)         nz = 7680 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 8.00000e-06 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 4.14872e-02 
%  Re_tau              Re_tau = 5185.897 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: 
% 
%      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
%      y^+     : Grid point in wall-normal direction 
%      U       : Mean profile of streamwise velocity 
%    dU/dy     : Derivative of U in wall-normal direction 
%      W       : Mean profile of spanwise velocity 
%      P       : Mean profile of pressure 
% 
% *   Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% **  W should be zero due to (statistical) symmetries in the flow. 
%     It is reported here none-the-less as an indicator of the quality of the statistics.  
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                       U                      dU/dy                      W                        P           
%-----------------------------------------------------------------------------------------------------------------------------------------------------
    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00
    1.371071353273301e-05    7.110235019829264e-02    1.178056894096470e-04    2.095748341802743e-03    7.548266571990281e-05    1.523895399145043e-11
    4.169953934984871e-05    2.162495221624994e-01    3.582854443776625e-04    2.095654719401335e-03    2.295687142590779e-04    1.236540896363140e-09
    8.453381948780869e-05    4.383836933411095e-01    7.262775258827535e-04    2.095305162039332e-03    4.653653711199892e-04    1.926622659417471e-08
    1.427808370142447e-04    7.404467353763260e-01    1.226476362267325e-03    2.094076218520807e-03    7.859206172487381e-04    1.406958716680843e-07
    2.170078137750941e-04    1.125380202420942e+00    1.863074494234034e-03    2.090488927063263e-03    1.194079807561788e-03    6.552957229067886e-07
    3.077819081407362e-04    1.596125319450033e+00    2.638921483066039e-03    2.081707622714448e-03    1.692136452664438e-03    2.253163627543589e-06
    4.156702127537937e-04    2.155622970581291e+00    3.553953105794891e-03    2.063230360285013e-03    2.281137795089673e-03    6.210036141127963e-06
    5.275290387434239e-04    2.735711337193032e+00    4.489431610429403e-03    2.033526628457208e-03    2.886127069136626e-03    1.334030351914553e-05
    6.433579417870483e-04    3.336388115074059e+00    5.437642843712061e-03    1.990668445911481e-03    3.503427682928275e-03    2.445004749697443e-05
    7.631564617923692e-04    3.957650918233040e+00    6.389770988001417e-03    1.933246796116663e-03    4.128528384845595e-03    4.015899190933430e-05
    8.869241228990354e-04    4.599497278907139e+00    7.336375206037200e-03    1.863783636857382e-03    4.756315191999584e-03    6.089929839374725e-05
    1.014660433480419e-03    5.261924647571224e+00    8.267695366368403e-03    1.757789846137512e-03    5.381380126778417e-03    8.693630765772854e-05
    1.146364886145945e-03    5.944930392949966e+00    9.173921045075237e-03    1.606930600421566e-03    5.998358650741675e-03    1.184070478048172e-04
    1.282036957742871e-03    6.648511802027046e+00    1.004560629497145e-02    1.502288689754126e-03    6.602253176217109e-03    1.553177932455768e-04
    1.421676109358172e-03    7.372666080054942e+00    1.087413415407888e-02    1.412719245176941e-03    7.188676159279503e-03    1.975578150248317e-04
